Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
141,Dodi,br BRA,MF,Grêmio,30-048,1996,6,1,184,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
142,Dodô,br BRA,MF,Remo,31-272,1994,1,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
143,Eduardo Doma,br BRA,DF,Chapecoense,27-279,1998,15,15,"1,280",14.2,1,0,1,1,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches
144,Dória,br BRA,DF,São Paulo,31-208,1994,4,2,228,2.5,1,0,1,1,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
145,Thiago dos Santos,br BRA,MF,Coritiba,36-272,1989,11,5,446,5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
146,Alexis Duarte,py PAR,DF,Santos,26-084,2000,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
147,David Duarte,br BRA,DF,Bahia,31-131,1995,11,11,990,11,2,0,2,2,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
148,Dudu,br BRA,MF,Athletico Paranaense,20-154,2006,11,7,598,6.6,1,1,2,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3,Matches
149,Dudu,br BRA,MF,Vitória,26-364,1999,3,1,168,1.9,1,0,1,1,0,0,0,0,0.54,0,0.54,0.54,0.54,Matches
150,Dudu,br BRA,MF,Atlético Mineiro,34-148,1992,12,2,313,3.5,2,0,2,2,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Edenilson,br BRA,DF,Vitória,20-352,2005,8,4,379,4.2,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
152,Edenílson,br BRA,MF,Grêmio,36-168,1989,3,2,152,1.7,1,0,1,1,0,0,0,0,0.59,0,0.59,0.59,0.59,Matches
153,Edenílson,br BRA,"MF,FW",Botafogo (RJ),36-168,1989,12,6,569,6.3,3,2,5,3,0,0,2,0,0.47,0.32,0.79,0.47,0.79,Matches
154,EDU,br BRA,DF,Vitória,25-353,2000,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Carlos Eduardo,br BRA,MF,Mirassol,36-230,1989,11,6,553,6.1,2,0,2,2,0,0,1,1,0.33,0,0.33,0.33,0.33,Matches
156,Carlos Eduardo,br BRA,"MF,FW",Mirassol,29-237,1996,10,7,505,5.6,1,1,2,0,1,1,1,0,0.18,0.18,0.36,0,0.18,Matches
157,Luis Eduardo,br BRA,DF,Grêmio,18-139,2008,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Vinicius Eduardo,br BRA,DF,Chapecoense,21-106,2005,2,0,62,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
159,Emerson,br BRA,DF,Flamengo,27-141,1999,8,6,494,5.5,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
160,Leandro Emmanuel Martínez,ar ARG,MF,Vitória,32-000,1994,14,12,"1,108",12.3,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
161,José Enamorado,co COL,"MF,FW",Grêmio,27-142,1999,17,10,851,9.5,0,2,2,0,0,0,3,0,0,0.21,0.21,0,0.21,Matches
162,Ênio,br BRA,"MF,FW",Chapecoense,25-093,2001,9,7,636,7.1,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
163,Erick,br BRA,MF,Bahia,28-202,1997,14,8,846,9.4,2,0,2,2,0,0,4,0,0.21,0,0.21,0.21,0.21,Matches
164,Erick,br BRA,"MF,FW",Vitória,28-176,1997,16,13,"1,163",12.9,2,4,6,1,1,1,1,0,0.15,0.31,0.46,0.08,0.39,Matches
165,Gonzalo Escobar,ar ARG,DF,Santos,29-080,1997,12,12,"1,047",11.6,0,1,1,0,0,0,5,0,0,0.09,0.09,0,0.09,Matches
166,Lucas Esquivel,ar ARG,"DF,MF",Athletico Paranaense,24-233,2001,14,14,"1,115",12.4,1,3,4,1,0,0,1,1,0.08,0.24,0.32,0.08,0.32,Matches
167,Lucas Evangelista,br BRA,MF,Palmeiras,31-029,1995,16,2,395,4.4,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
168,Éverson,br BRA,GK,Atlético Mineiro,35-317,1990,18,18,"1,620",18,0,1,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
169,Everton,br BRA,"FW,MF",Mirassol,29-079,1997,8,0,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Everton,br BRA,"MF,DF",Chapecoense,31-055,1995,14,12,951,10.6,0,1,1,0,0,0,6,1,0,0.09,0.09,0,0.09,Matches
171,Evertton,br BRA,MF,Flamengo,23-096,2003,13,11,846,9.4,0,1,1,0,0,0,4,1,0,0.11,0.11,0,0.11,Matches
172,Fabinho,br BRA,"FW,MF",Coritiba,26-198,1999,7,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
173,Fabinho,br BRA,MF,RB Bragantino,24-056,2002,5,3,223,2.5,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
174,Fábio,br BRA,GK,Fluminense,45-247,1980,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
175,Fabrício,br BRA,FW,Vitória,25-239,2000,8,1,189,2.1,0,1,1,0,0,0,0,0,0,0.48,0.48,0,0.48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Fagner,br BRA,DF,Cruzeiro,36-358,1989,12,8,712,7.9,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
177,Juan Felipe Aguirre,co COL,DF,Athletico Paranaense,29-279,1996,14,13,"1,160",12.9,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
178,Luiz Felipe,br BRA,DF,Internacional,20-016,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
179,Felipinho,br BRA,MF,Athletico Paranaense,24-229,2001,7,4,360,4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
180,Matheus Fernandes,br BRA,MF,RB Bragantino,27-339,1998,11,8,657,7.3,0,1,1,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
181,Nathan Fernandes,br BRA,DF,Botafogo (RJ),21-108,2005,4,0,81,0.9,0,1,1,0,0,0,0,0,0,1.11,1.11,0,1.11,Matches
182,Roger Fernandes,br BRA,FW,Grêmio,18-036,2008,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Fernando,br BRA,MF,RB Bragantino,27-095,1999,8,1,188,2.1,2,1,3,2,0,0,0,0,0.96,0.48,1.44,0.96,1.44,Matches
184,Luiz Fernando,br BRA,"FW,MF",Athletico Paranaense,29-231,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Nahuel Ferraresi,ve VEN,DF,São Paulo,27-197,1998,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Nahuel Ferraresi,ve VEN,DF,Botafogo (RJ),27-197,1998,12,10,918,10.2,1,0,1,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
187,Ferreira,br BRA,"MF,FW",São Paulo,28-155,1997,13,6,517,5.7,4,0,4,4,0,0,2,0,0.7,0,0.7,0.7,0.7,Matches
188,Djhordney Ferreira,br BRA,MF,São Paulo,18-352,2007,2,1,61,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
189,Nicolás Ferreira,uy URU,FW,Remo,24-117,2002,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Riquelme Fillipi,br BRA,FW,Palmeiras,19-262,2006,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Nathan Fogaça,br BRA,FW,Mirassol,26-360,1999,10,2,352,3.9,2,0,2,2,0,0,2,0,0.51,0,0.51,0.51,0.51,Matches
192,Jeferson Forneck,br BRA,MF,Grêmio,19-172,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Matheus França,br BRA,FW,Vasco da Gama,22-064,2004,3,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
