Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
405,Prince Obeng Ampem,gh GHA,MF,Eyüpspor,27,1998,20,4,643,7.1,2,0,2,2,0,0,3,0,0.28,0,0.28,0.28,0.28,Matches
406,Uchenna Ogundu,ng NGA,FW,Alanyaspor,19,2006,17,11,982,10.9,2,1,3,2,0,0,3,0,0.18,0.09,0.27,0.18,0.27,Matches
407,Ahmet Oğuz,tr TUR,DF,Kocaelispor,32,1993,28,25,"2,144",23.8,0,2,2,0,0,0,10,0,0,0.08,0.08,0,0.08,Matches
408,Kazeem Olaigbe,be BEL,MF,Konyaspor,22,2003,13,12,944,10.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
409,Kazeem Olaigbe,be BEL,MF,Trabzonspor,22,2003,18,14,"1,086",12.1,0,1,1,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
410,Junior Olaitan,bj BEN,MF,Beşiktaş,23,2002,14,13,"1,192",13.2,2,2,4,2,0,0,1,0,0.15,0.15,0.3,0.15,0.3,Matches
411,Junior Olaitan,bj BEN,MF,Göztepe,23,2002,17,10,904,10,2,0,2,2,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
412,Ibrahim Olawoyin,ng NGA,MF,Rizespor,27,1997,28,25,"2,024",22.5,1,1,2,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches
413,Abdülkadir Ömür,tr TUR,MF,Antalyaspor,26,1999,25,17,"1,316",14.6,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
414,André Onana,cm CMR,GK,Trabzonspor,29,1996,29,29,"2,526",28.1,0,1,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
415,Jérôme Onguéné,cm CMR,DF,Eyüpspor,27,1997,13,9,784,8.7,0,2,2,0,0,0,3,0,0,0.23,0.23,0,0.23,Matches
416,Paul Onuachu,ng NGA,FW,Trabzonspor,31,1994,30,28,"2,518",28,22,2,24,16,6,7,6,0,0.79,0.07,0.86,0.57,0.64,Matches
417,German Onugkha,ru RUS,FW,Kayserispor,29,1996,27,21,"1,887",21,8,1,9,8,0,0,3,0,0.38,0.05,0.43,0.38,0.43,Matches
418,Samed Onur,tr TUR,MF,Gençlerbirliği,23,2002,25,4,610,6.8,0,1,1,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
419,Henry Onyekuru,ng NGA,MF,Gençlerbirliği,28,1997,17,3,311,3.5,0,0,0,0,0,1,1,0,0,0,0,0,0,Matches
420,Jayden Oosterwolde,nl NED,DF,Fenerbahçe,24,2001,31,29,"2,624",29.2,0,0,0,0,0,0,13,1,0,0,0,0,0,Matches
421,Christopher Operi,ci CIV,DF,Başakşehir,28,1997,22,22,"1,821",20.2,0,4,4,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches
422,Aaron Opoku,de GER,"DF,MF",Kayserispor,26,1999,19,14,"1,232",13.7,0,2,2,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
423,Jerome Opoku,gh GHA,DF,Başakşehir,26,1998,32,31,"2,739",30.4,0,1,1,0,0,0,10,0,0,0.03,0.03,0,0.03,Matches
424,Nicholas Opoku,gh GHA,DF,Kasımpaşa,27,1997,30,26,"2,435",27.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
425,Furkan Orak,,DF,Rizespor,24,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Emir Ortakaya,tr TUR,DF,Eyüpspor,21,2004,9,8,728,8.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
427,Emir Ortakaya,tr TUR,DF,Rizespor,21,2004,3,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
428,Victor Osimhen,ng NGA,FW,Galatasaray,26,1998,22,19,"1,707",19,15,5,20,13,2,2,8,0,0.79,0.26,1.05,0.69,0.95,Matches
