Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
193,Giacomo Koloto,ch SUI,FW,Basel,17,2008,17,11,899,10,2,0,2,2,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
194,Sekou Koné,ml MLI,MF,Lausanne-Sport,19,2006,5,1,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Corsin Konietzke,ch SUI,MF,St. Gallen,19,2006,14,4,442,4.9,2,0,2,2,0,0,1,0,0.41,0,0.41,0.41,0.41,Matches
196,Georgios Koutsias,gr GRE,"FW,MF",Lugano,21,2004,31,15,"1,507",16.7,6,3,9,6,0,0,3,0,0.36,0.18,0.54,0.36,0.54,Matches
197,Bledian Krasniqi,xk KVX,MF,Zürich,24,2001,31,20,"1,642",18.2,1,6,7,1,0,0,1,0,0.05,0.33,0.38,0.05,0.38,Matches
198,Samuel Krasniqi,ch SUI,MF,Grasshopper,20,2005,23,14,"1,325",14.7,1,2,3,1,0,0,1,0,0.07,0.14,0.2,0.07,0.2,Matches
199,Jan Kronig,ch SUI,DF,Sion,25,2000,36,36,"3,227",35.9,1,0,1,1,0,0,7,2,0.03,0,0.03,0.03,0.03,Matches
200,Mirlind Kryeziu,xk KVX,DF,FC Winterthur,28,1997,9,7,543,6,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Brighton Labeau,mq MTQ,FW,Thun,29,1996,36,22,"2,035",22.6,3,2,5,3,0,0,2,0,0.13,0.09,0.22,0.13,0.22,Matches
202,Andrew Lachhab,ch SUI,FW,Lausanne-Sport,16,2008,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,Sandro Lauper,ch SUI,"DF,MF",Young Boys,28,1996,33,25,"2,322",25.8,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches
204,Numa Lavanchy,ch SUI,DF,Sion,31,1993,37,37,"3,330",37,1,2,3,1,0,0,5,0,0.03,0.05,0.08,0.03,0.08,Matches
205,Beyatt Lekoueiry,mr MTN,"MF,FW",Lausanne-Sport,20,2005,34,19,"1,717",19.1,4,2,6,4,0,0,5,1,0.21,0.1,0.31,0.21,0.31,Matches
206,Adrian Leon Barišić,ba BIH,DF,Basel,24,2001,11,9,807,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
