Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
297,Gabriel Osei Misehouy,nl NED,MF,Aris,20,2005,9,2,340,3.8,1,0,1,1,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
298,Ahmed Ouattara,ci CIV,"DF,MF",Larissa,21,2003,18,10,876,9.7,0,1,1,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
299,Ismahila Ouédraogo,bf BFA,MF,Atromitos,25,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,Alen Ožbolt,si SVN,FW,Levadiakos,29,1996,24,21,"1,661",18.5,11,4,15,9,2,2,5,1,0.6,0.22,0.81,0.49,0.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Magomed Ozdoyev,ru RUS,MF,PAOK,32,1992,30,22,"1,998",22.2,8,3,11,8,0,0,3,0,0.36,0.14,0.5,0.36,0.5,Matches
302,Ognjen Ožegović,rs SRB,FW,Levadiakos,31,1994,11,1,239,2.7,2,0,2,1,1,2,0,0,0.75,0,0.75,0.38,0.38,Matches
303,Ognjen Ožegović,rs SRB,"FW,MF",Atromitos,31,1994,14,8,711,7.9,2,1,3,1,1,2,4,0,0.25,0.13,0.38,0.13,0.25,Matches
304,Sebastián Palacios,ar ARG,MF,Levadiakos,33,1992,29,27,"2,333",25.9,6,8,14,5,1,2,5,0,0.23,0.31,0.54,0.19,0.5,Matches
305,Erik Palmer-Brown,us USA,DF,Panathinaikos,28,1997,17,15,"1,348",15,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
306,Brayan Palmezano,ve VEN,"MF,FW",Atromitos,24,2000,9,4,300,3.3,1,0,1,1,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
