Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
57,Liam De Kock,za RSA,DF,Maritzburg United,25-034,2001,10,7,594,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Thapelo Dhludhlu,,MF,Marumo Gallants FC,,,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Abdoulaye Dine Mariko,ml MLI,MF,Orlando Pirates,22-335,2003,8,2,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Tidiane Diomandé,ci CIV,MF,Sekhukhune United FC,27-082,1999,5,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Reotshepile Disemelo,,MF,Orbit College,,,1,1,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
62,Puso Dithejane,za RSA,MF,TS Galaxy,21-358,2004,12,12,"1,025",11.4,4,5,9,4,0,1,1,0,0.35,0.44,0.79,0.35,0.79,Matches
63,Bandile Dlamini,za RSA,MF,Chippa United,22-259,2003,4,3,228,2.5,0,1,1,0,0,0,0,0,0,0.39,0.39,0,0.39,Matches
64,Bonginkosi Dlamini,za RSA,MF,Polokwane City,29-249,1996,30,24,"2,338",26,3,2,5,3,0,0,3,0,0.12,0.08,0.19,0.12,0.19,Matches
65,Jeffrey Dlamini,za RSA,"MF,DF",TS Galaxy,35-141,1991,11,7,559,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Kabelo Dlamini,za RSA,MF,Orlando Pirates,30-019,1996,5,0,82,0.9,0,1,1,0,0,0,0,0,0,1.1,1.1,0,1.1,Matches
67,Nqobeko Dlamini,za RSA,MF,Lamontville Golden Arrows,31-176,1994,27,23,"2,021",22.5,1,3,4,1,0,0,2,0,0.04,0.13,0.18,0.04,0.18,Matches
68,Haashim Domingo,za RSA,MF,Maritzburg United,30-295,1995,27,17,"1,488",16.5,2,2,4,2,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches
69,Mohamed Doumbia,ci CIV,MF,Marumo Gallants FC,27-161,1998,9,8,749,8.3,2,0,2,2,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
70,Ashley Du Preez,za RSA,"MF,FW",Kaizer Chiefs,28-323,1997,8,4,353,3.9,0,1,1,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
71,Wandile Duba,za RSA,"MF,FW",Kaizer Chiefs,21-342,2004,18,13,952,10.6,3,2,5,3,0,0,3,0,0.28,0.19,0.47,0.28,0.47,Matches
72,Lungelo Dube,za RSA,MF,Lamontville Golden Arrows,31-266,1994,3,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Wandile Dube,,DF,AmaZulu,,,9,2,250,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
