,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
63,Luuk Brouwers,nl NED,MF,Heerenveen,27,1998,30,21,"1,944",21.6,5,4,9,5,0,0,4,1,0.23,0.19,0.42,0.23,0.42,Matches
64,Max Bruns,nl NED,DF,Twente,22,2002,13,8,800,8.9,1,0,1,1,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
65,Thomas Bruns,nl NED,MF,Heracles Almelo,33,1992,27,12,"1,162",12.9,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
66,Charles-Andréas Brym,ca CAN,"MF,FW",NAC Breda,26,1998,24,17,"1,500",16.7,2,4,6,2,0,1,4,0,0.12,0.24,0.36,0.12,0.36,Matches
67,Thomas Buitink,nl NED,FW,Zwolle,25,2000,8,0,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
68,Nordin Bukala,nl NED,MF,Volendam,19,2005,25,21,"1,743",19.4,2,1,3,2,0,0,5,0,0.1,0.05,0.15,0.1,0.15,Matches
69,Zico Buurmeester,nl NED,MF,AZ Alkmaar,23,2002,1,0,33,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
70,Zico Buurmeester,nl NED,MF,Zwolle,23,2002,22,15,"1,503",16.7,2,0,2,2,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
71,Gani Büyükhan,nl NED,MF,Fortuna Sittard,15,2009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Guilliano Cairo,,,Excelsior,,,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Jayden Candelaria,cw CUW,MF,NAC Breda,21,2004,8,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Adam Carlén,se SWE,MF,Excelsior,25,2000,25,12,"1,228",13.6,0,1,1,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
75,Maher Carrizo,ar ARG,MF,Ajax,19,2006,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Yoann Cathline,fr FRA,"MF,FW",Utrecht,23,2002,26,21,"1,884",20.9,3,4,7,3,0,0,4,0,0.14,0.19,0.33,0.14,0.33,Matches
77,Sava Cestic,rs SRB,DF,Heracles Almelo,24,2001,7,3,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Mateo Chávez,mx MEX,"DF,MF",AZ Alkmaar,21,2004,20,9,829,9.2,1,2,3,1,0,0,5,0,0.11,0.22,0.33,0.11,0.33,Matches
79,Tjaronn Chery,sr SUR,"MF,FW",NEC Nijmegen,37,1988,33,33,"2,743",30.5,10,6,16,8,2,4,3,1,0.33,0.2,0.52,0.26,0.46,Matches
80,Jasper Cillessen,nl NED,GK,NEC Nijmegen,36,1989,3,3,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Jordy Clasie,nl NED,MF,AZ Alkmaar,34,1991,12,10,812,9,1,1,2,1,0,0,4,1,0.11,0.11,0.22,0.11,0.22,Matches
82,Pelle Clement,nl NED,MF,Sparta Rotterdam,29,1996,26,18,"1,606",17.8,2,3,5,2,0,0,2,0,0.11,0.17,0.28,0.11,0.28,Matches
