Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Anthony Didulica,au AUS,FW,Perth Glory,17,2008,5,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Will Dobson,au AUS,MF,Newcastle Jets,17,2007,24,22,"1,672",18.6,4,3,7,4,0,0,2,0,0.22,0.16,0.38,0.22,0.38,Matches
78,James Donachie,au AUS,DF,Central Coast Mariners,32,1993,21,19,"1,792",19.9,1,0,1,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches
79,Ji Dong-won,kr KOR,FW,Macarthur FC,34,1991,9,3,338,3.8,1,0,1,1,0,0,4,0,0.27,0,0.27,0.27,0.27,Matches
80,Chris Donnell,au AUS,MF,Central Coast Mariners,23,2001,14,13,"1,099",12.2,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
81,Oliver Dragicevic,au AUS,MF,Melbourne Victory,17,2007,7,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Nicholas Duarte,au AUS,"FW,MF",Central Coast Mariners,21,2003,11,3,336,3.7,1,1,2,1,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Matches
83,Mitchell Duke,au AUS,FW,Macarthur FC,34,1991,13,11,857,9.5,5,3,8,5,0,0,3,0,0.53,0.32,0.84,0.53,0.84,Matches
84,Yaya Dukuly,au AUS,MF,Adelaide United,22,2003,23,22,"1,793",19.9,2,6,8,2,0,0,3,0,0.1,0.3,0.4,0.1,0.4,Matches
85,Jack Duncan,au AUS,GK,Melbourne Victory,32,1993,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Emin Durakovic,au AUS,MF,Melb City,20,2005,21,7,790,8.8,0,2,2,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
87,Rafa Durán,mx MEX,"MF,FW",Macarthur FC,27,1997,19,14,997,11.1,4,2,6,4,0,0,0,0,0.36,0.18,0.54,0.36,0.54,Matches
88,James Durrington,au AUS,MF,Brisbane,19,2006,2,2,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Luke Duzel,au AUS,MF,Adelaide United,23,2002,23,13,"1,288",14.3,2,0,2,2,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
90,Haine Eames,au AUS,MF,Central Coast Mariners,17,2008,16,9,882,9.8,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
91,Ryan Edmondson,eng ENG,FW,Central Coast Mariners,24,2001,9,5,448,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Daniel Edwards,nz NZL,"DF,MF",Wellington Phoenix,26,1998,9,6,454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Callan Elliot,nz NZL,"DF,MF",Auckland FC,26,1999,23,16,"1,408",15.6,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
94,Sebastian Esposito,au AUS,DF,Melbourne Victory,20,2005,24,22,"1,883",20.9,2,0,2,2,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
95,Mikael Evagotou,,DF,Brisbane,,,1,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Ifeanyi Eze,ng NGA,FW,Wellington Phoenix,26,1999,25,25,"2,114",23.5,10,1,11,10,0,0,5,0,0.43,0.04,0.47,0.43,0.47,Matches
97,Abdelelah Faisal,au AUS,FW,Central Coast Mariners,19,2005,4,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Jacob Farrell,au AUS,DF,Western Sydney Wanderers,22,2002,7,6,585,6.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
99,Bailey Ferguson,au AUS,FW,Auckland FC,17,2007,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
