,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
48,Junior Arias,uy URU,FW,Aldosivi,33-018,1993,11,9,714,7.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
49,Matías Arias,ar ARG,MF,Vélez Sarsfield,19-027,2007,5,1,137,1.5,0,1,1,0,0,0,1,0,0,0.66,0.66,0,0.66,Matches
50,Ramón Arias,uy URU,DF,Tigre,33-312,1992,7,3,293,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Santiago Arias,co COL,DF,Independiente,34-142,1992,12,8,824,9.2,0,2,2,0,0,0,1,0,0,0.22,0.22,0,0.22,Matches
52,Joaquín Ariel Novillo,ar ARG,DF,Aldosivi,28-105,1998,8,8,654,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Franco Armani,ar ARG,GK,River Plate,39-231,1986,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Blas Armoa,py PAR,FW,Gimnasia–M,26-121,2000,7,2,252,2.8,1,0,1,1,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
55,Gaston Arturia,ar ARG,DF,Sarmiento–J,26-218,1999,6,5,416,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
56,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,29-099,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Santiago Ascacíbar,ar ARG,MF,Boca Juniors,29-099,1997,12,9,852,9.5,2,0,2,2,0,0,3,0,0.21,0,0.21,0.21,0.21,Matches
58,Jorge de Asís,ar ARG,FW,Gimnasia–LP,20-126,2006,2,0,23,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
59,Rodrigo Atencio,ar ARG,"MF,FW",Ind. Rivadavia,23-339,2002,15,5,649,7.2,0,4,4,0,0,0,0,0,0,0.55,0.55,0,0.55,Matches
60,Agustín Auzmendi,ar ARG,FW,Gimnasia–LP,29-123,1997,16,4,588,6.5,2,2,4,2,0,0,0,0,0.31,0.31,0.61,0.31,0.61,Matches
61,Rodrigo Auzmendi,ar ARG,FW,San Lorenzo,25-153,2001,7,4,398,4.4,3,0,3,3,0,0,1,0,0.68,0,0.68,0.68,0.68,Matches
62,Rodrigo Auzmendi,ar ARG,FW,Banfield,25-153,2001,7,1,187,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
63,Gabriel Ávalos,py PAR,FW,Independiente,35-235,1990,16,16,"1,414",15.7,9,5,14,7,2,2,2,0,0.57,0.32,0.89,0.45,0.76,Matches
64,Gastón Ávila,ar ARG,DF,Rosario Central,24-247,2001,10,8,739,8.2,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches
65,Renzo Bacchia,uy URU,GK,Estudiantes–RC,27-132,1999,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
66,Gabriel Báez,ar ARG,DF,Talleres–C,30-318,1995,6,6,487,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
67,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,32-163,1993,14,10,925,10.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
68,Mateo Bajamich,ar ARG,FW,Estudiantes–RC,26-305,1999,15,10,812,9,1,0,1,1,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
69,Éver Banega,ar ARG,MF,Defensa y Justicia,37-340,1988,10,3,355,3.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
70,Nahuel Banegas,ar ARG,DF,Tigre,29-241,1996,5,3,292,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Miguel Barbieri,ar ARG,DF,Deportivo Riestra,32-284,1993,9,7,566,6.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
72,David Barbona,ar ARG,FW,Defensa y Justicia,31-102,1995,9,2,284,3.2,1,0,1,1,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches
73,Nahuel Barboza,ar ARG,MF,Gimnasia–M,26-261,1999,10,5,583,6.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
74,Renzo Miguel Orihuela Barcos,uy URU,DF,Sarmiento–J,25-061,2001,6,5,495,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Adam Bareiro,py PAR,FW,Boca Juniors,29-313,1996,9,7,675,7.5,3,1,4,3,0,0,4,0,0.4,0.13,0.53,0.4,0.53,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Juan Barinaga,ar ARG,DF,Boca Juniors,25-237,2000,9,9,710,7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
77,Williams Barlasina,ar ARG,GK,Newell's Old Boys,27-340,1998,5,4,378,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Giovanni Baroni,ar ARG,"MF,FW",Talleres–C,17-134,2009,12,8,646,7.2,0,3,3,0,0,0,1,0,0,0.42,0.42,0,0.42,Matches
79,Diego Barrera,ar ARG,"MF,DF",Cen. Córdoba–SdE,21-347,2004,15,12,"1,049",11.7,3,0,3,3,0,0,4,0,0.26,0,0.26,0.26,0.26,Matches
80,Alan Barrionuevo,ar ARG,DF,Tigre,29-153,1997,15,15,"1,350",15,2,2,4,2,0,0,1,0,0.13,0.13,0.27,0.13,0.27,Matches
81,Martín Barrios,uy URU,MF,Platense,27-131,1999,7,3,297,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
82,Nahuel Barrios,ar ARG,MF,San Lorenzo,28-028,1998,7,2,247,2.7,0,1,1,0,0,0,1,0,0,0.36,0.36,0,0.36,Matches
83,Rafael Barrios,ar ARG,"MF,DF",Barracas Central,33-012,1993,9,7,497,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Bautista Barros Schelotto,ar ARG,DF,Gimnasia–LP,26-142,2000,2,1,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
85,Bruno Barticciotto,cl CHI,FW,Talleres–C,25-028,2001,3,1,53,0.6,0,1,1,0,0,0,0,0,0,1.7,1.7,0,1.7,Matches
86,Tomás Belmonte,ar ARG,MF,Boca Juniors,28-008,1998,10,7,598,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
87,Santiago Beltrán,ar ARG,GK,River Plate,21-243,2004,16,15,"1,395",15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Gastón Benedetti,ar ARG,DF,Estudiantes–LP,25-067,2001,14,12,"1,117",12.4,0,2,2,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
89,Nicolás Benegas,ar ARG,FW,Deportivo Riestra,30-095,1996,11,4,446,5,1,0,1,1,0,0,5,0,0.2,0,0.2,0.2,0.2,Matches
90,Alcides Benítez,py PAR,"MF,DF",Belgrano,23-341,2002,15,12,992,11,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
91,Martín Benítez,ar ARG,FW,Atlé Tucumán,31-352,1994,3,1,95,1.1,1,0,1,0,1,1,0,0,0.95,0,0.95,0,0,Matches
92,Fernando Bersano,ar ARG,"DF,MF",Estudiantes–RC,28-152,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Lucas Besozzi,ar ARG,MF,Lanús,23-133,2003,12,1,282,3.1,0,2,2,0,0,0,0,0,0,0.64,0.64,0,0.64,Matches
94,Juan Bisanz,ar ARG,"MF,FW",Huracán,24-280,2001,12,3,444,4.9,2,1,3,2,0,0,1,0,0.41,0.2,0.61,0.41,0.61,Matches
95,Lautaro Blanco,ar ARG,DF,Boca Juniors,27-105,1999,13,12,"1,091",12.1,1,0,1,1,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
96,Lucas Blondel,ch SUI,"MF,DF",Huracán,29-263,1996,8,7,647,7.2,1,0,1,1,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
97,Roberto Bochi,ar ARG,MF,Aldosivi,38-333,1987,10,9,672,7.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
98,Rodrigo Bogarín,py PAR,MF,Barracas Central,29-011,1997,5,1,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Nicolás Bolcato,ar ARG,GK,Ind. Rivadavia,22-029,2004,15,14,"1,337",14.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
100,Cayetano Bolzán,ar ARG,FW,Gimnasia–LP,20-082,2006,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Ezequiel Bonifacio,ar ARG,DF,Ind. Rivadavia,32-026,1994,11,6,520,5.8,0,1,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
102,Matías Borgogno,ar ARG,GK,Platense,27-287,1998,16,16,"1,440",16,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
103,Benjamín Bosch,ar ARG,FW,Platense,20-354,2005,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Rubén Botta,ar ARG,"MF,FW",Defensa y Justicia,36-124,1990,13,13,849,9.4,1,1,2,1,0,1,3,1,0.11,0.11,0.21,0.11,0.21,Matches
105,Tomás Bottari,ar ARG,MF,Ind. Rivadavia,25-039,2001,10,9,780,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
106,Walter Bou,ar ARG,FW,Lanús,32-283,1993,10,8,578,6.4,2,0,2,1,1,1,1,0,0.31,0,0.31,0.16,0.16,Matches
107,Mariano Bracamonte,ar ARG,"DF,MF",Deportivo Riestra,27-041,1999,5,5,411,4.6,1,0,1,1,0,0,2,0,0.22,0,0.22,0.22,0.22,Matches
108,Malcom Braida,ar ARG,DF,Boca Juniors,29-018,1997,5,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Agustin Bravo,ar ARG,DF,Instituto,25-024,2001,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Claudio Bravo,ar ARG,DF,Arg Juniors,29-083,1997,5,1,134,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
111,Néstor Breitenbruch,ar ARG,DF,Aldosivi,30-264,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Leandro Brey,ar ARG,GK,Boca Juniors,23-256,2002,5,4,369,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Norberto Briasco,am ARM,"FW,MF",Barracas Central,30-095,1996,10,5,460,5.1,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
114,Manuel Brondo,ar ARG,FW,Atlé Tucumán,24-099,2002,6,0,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Jorge Broun,ar ARG,GK,Rosario Central,40-009,1986,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Facundo Bruera,ar ARG,FW,Barracas Central,27-254,1998,15,10,948,10.5,1,1,2,1,0,0,5,0,0.09,0.09,0.19,0.09,0.19,Matches
117,Leonel Bucca,ar ARG,MF,Ind. Rivadavia,27-076,1999,6,3,247,2.7,4,0,4,4,0,0,0,0,1.46,0,1.46,1.46,1.46,Matches
118,Joaquín Burgos,ar ARG,MF,Estudiantes–LP,21-172,2004,8,5,323,3.6,0,2,2,0,0,0,0,0,0,0.56,0.56,0,0.56,Matches
119,Javier Burrai,ec ECU,GK,Sarmiento–J,35-238,1990,16,16,"1,440",16,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
120,Felipe Bussio,ar ARG,MF,Platense,21-353,2004,10,6,505,5.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
121,Fabricio Bustos,ar ARG,DF,River Plate,30-037,1996,3,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Luciano Cabral,cl CHI,MF,Independiente,31-039,1995,8,2,251,2.8,1,0,1,1,0,0,1,1,0.36,0,0.36,0.36,0.36,Matches
123,Alejandro Cabrera,ar ARG,MF,Estudiantes–RC,33-247,1992,11,9,710,7.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
124,Bruno Cabrera,ar ARG,MF,Lanús,22-348,2003,8,2,303,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
125,Bruno Cabrera,ar ARG,DF,Newell's Old Boys,29-037,1997,6,4,334,3.7,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Elías Cabrera,ar ARG,MF,Tigre,23-099,2003,10,7,555,6.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
127,Marcelo Cabrera,ar ARG,DF,Rosario Central,19-267,2006,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Máximo Cabrera,ar ARG,GK,Gimnasia–LP,19-281,2006,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Darío Cáceres,py PAR,"MF,DF",Defensa y Justicia,28-129,1998,8,3,308,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Mateo Caceres,ar ARG,MF,Talleres–C,23-252,2002,14,7,647,7.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
131,Jordy Caicedo,ec ECU,FW,Huracán,28-198,1997,15,15,"1,322",14.7,8,0,8,5,3,3,7,0,0.54,0,0.54,0.34,0.34,Matches
132,Facundo Cambeses,ar ARG,GK,Racing Club,29-056,1997,16,16,"1,440",16,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
133,Jaminton Campaz,co COL,"MF,FW",Rosario Central,26-011,2000,11,8,729,8.1,1,4,5,1,0,0,0,0,0.12,0.49,0.62,0.12,0.62,Matches
134,Gastón Campi,ar ARG,DF,Barracas Central,35-059,1991,7,6,542,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
135,Ignacio Campo,ar ARG,DF,Huracán,21-066,2005,8,7,585,6.5,1,1,2,1,0,0,4,0,0.15,0.15,0.31,0.15,0.31,Matches
136,José Canale,py PAR,DF,Lanús,29-319,1996,12,12,"1,080",12,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
137,Jhonatan Candia,uy URU,FW,Barracas Central,31-081,1995,14,9,751,8.3,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
138,Ezequiel Cannavo,ar ARG,DF,Racing Club,23-357,2002,13,13,"1,146",12.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
139,Giovanni Cantizano,ar ARG,MF,Rosario Central,19-075,2007,2,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Nicolás Capraro,ar ARG,DF,Barracas Central,28-093,1998,13,11,997,11.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
141,Valentin Carboni,ar ARG,FW,Racing Club,21-091,2005,5,3,202,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Mauricio Cardillo,ar ARG,MF,San Lorenzo,23-085,2003,7,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Agustín Cardozo,ar ARG,MF,Lanús,29-005,1997,13,13,"1,156",12.8,0,1,1,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
144,Juan Cardozo,py PAR,MF,Cen. Córdoba–SdE,22-100,2004,9,5,522,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Thiago Cardozo,uy URU,GK,Belgrano,29-308,1996,16,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Lautaro Carrera,ar ARG,DF,Gimnasia–M,23-005,2003,8,3,374,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Ramiro Carrera,ar ARG,"MF,FW",Lanús,32-223,1993,15,12,965,10.7,2,3,5,2,0,0,7,0,0.19,0.28,0.47,0.19,0.47,Matches
148,Guido Carrillo,ar ARG,FW,Estudiantes–LP,35-010,1991,11,10,891,9.9,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,Matches
149,Facundo Carrizo,ar ARG,FW,Arg Juniors,19-004,2007,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Lucas Carrizo,ar ARG,"DF,MF",Huracán,29-015,1997,12,9,910,10.1,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Maher Carrizo,ar ARG,MF,Vélez Sarsfield,20-105,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
