player,club,games_played,games_started,minutes,substitutions,goals,pass_pct,assists,conversion_pct,shots_on_target,key_passes,xg,fouls_committed,fouls_suffered,offsides,yellow_cards,red_cards
D. Mihailovic,TOR,5,4,401,1,1,77,2,7,4,11,0.75,2,4,1,0,0
C. Sullivan,PHI,13,6,548,7,1,69,4,13,7,12,0.96,14,8,0,1,0
M. Desler,ATX,9,6,551,3,1,89,0,4,2,4,0.36,8,9,0,2,0
L. Gavran,TOR,14,14,1260,0,1,66,1,1,1,0,0.37,0,4,0,0,0
H. Synchuk,MTL,8,4,361,4,1,75,0,18,6,3,2.61,5,15,1,2,0
S. Afrifa,SKC,12,0,230,12,1,86,1,6,3,3,0.26,4,5,0,0,0
S. Eustáquio,LAFC,10,7,602,3,1,90,4,7,2,6,0.38,8,6,0,0,0
D. Romney,SJ,9,4,419,5,1,79,0,4,1,0,0.53,3,4,0,0,0
A. Perea,NYC,5,1,200,4,1,84,0,2,1,2,0.37,0,6,0,0,0
P. Yazbek,NSH,10,7,657,3,1,93,3,8,4,7,1.26,10,4,0,0,0
F. Fall,STL,5,2,222,3,1,84,0,3,1,2,0.27,1,3,0,1,0
S. Suleymanov,SKC,13,9,744,4,1,87,1,16,6,8,1.19,9,14,1,1,0
N. Triantis,MIN,15,14,1167,1,1,87,1,18,5,8,1.58,17,9,0,2,0
H. Herrera,HOU,13,5,554,8,1,94,2,7,2,15,1.1,11,11,0,0,0
T. Habroune,CLB,14,11,928,3,1,85,1,7,3,23,1.23,18,10,2,2,0
J. Terry,LAFC,5,2,147,3,1,90,0,2,1,1,0.06,2,1,0,0,0
T. Souza,ORL,13,8,583,5,1,74,3,10,3,4,2.22,17,18,3,3,0
M. Moralez,NYC,14,14,1130,0,1,83,6,13,5,28,2.11,10,24,7,1,0
S. Palencia,LAFC,9,8,627,1,1,83,1,3,1,3,0.45,14,5,1,2,0
S. Bangoura,CLB,13,4,453,9,1,88,0,5,2,1,0.99,15,11,0,1,0
L. Herrington,COL,15,15,1350,0,1,95,1,2,1,5,0.33,14,7,0,4,0
E. Forsberg,RBNY,14,13,1081,1,1,87,5,26,7,25,2.19,14,11,1,0,0
E. Tagseth,NSH,9,8,691,1,1,93,1,2,1,5,0.1,8,4,0,1,0
T. Gray,NYC,14,14,1218,0,1,84,2,9,4,10,0.76,16,18,0,3,0
V. Olatunji,RSL,11,2,257,9,1,64,0,9,6,0,2.41,9,13,6,0,0
A. Bonetig,POR,8,7,650,1,1,90,0,2,1,0,0.38,5,3,0,1,0
M. Sofo,RBNY,8,2,280,6,1,75,0,8,3,1,1.29,10,7,1,0,0
J. Bartlett,SKC,12,9,834,3,1,90,1,1,1,4,0.39,16,12,2,2,0
A. Anello,PHI,10,3,370,7,1,68,1,15,6,7,2.25,6,5,4,1,0
J. Atencio,COL,12,9,790,3,1,89,2,3,2,3,0.21,15,4,0,6,0
R. Hollingshead,LAFC,11,6,595,5,1,86,0,8,3,9,1.44,9,7,0,1,0
L. Bombino,SD,12,11,938,1,1,86,2,8,2,6,0.4,17,27,2,4,0
L. Otávio,ORL,10,5,412,5,1,83,0,4,3,1,0.8,6,7,0,2,0
I. Aliyu,HOU,11,2,255,9,1,82,0,6,1,4,0.3,5,2,0,0,0
A. Mehmeti,RBNY,15,15,1239,0,1,86,4,6,1,12,1.25,25,10,0,4,0
Z. Booth,RSL,8,4,319,4,1,80,0,3,1,2,0.17,7,4,3,0,0
A. Manyoma,COL,11,2,234,9,1,82,0,4,1,1,0.27,2,10,1,1,0
D. Thórhallsson,MTL,10,7,608,3,1,85,0,7,3,7,0.39,7,9,1,0,0
J. Pereyra,MIN,15,14,1278,1,1,79,5,27,6,28,1.58,21,37,5,3,0
R. Roberts,SJ,14,14,1260,0,1,89,1,4,2,3,0.41,11,9,0,4,0
A. Qasem,NSH,14,9,731,5,1,85,1,10,6,4,0.59,16,11,2,3,0
A. Jabbari,CIN,13,4,364,9,1,75,2,6,2,5,0.77,7,15,2,1,0
B. Bender,PHI,8,4,434,4,1,72,2,6,2,10,0.2,4,7,1,1,0
M. Yoshida,LA,11,6,549,5,1,91,0,6,3,0,0.73,4,3,0,0,0
N. Norris,DAL,12,10,899,2,1,78,1,2,2,1,0.25,19,5,1,4,0
A. Piol,RSL,2,2,166,0,1,70,0,4,2,0,1.27,1,0,0,0,0
I. Vassilev,PHI,14,12,958,2,1,79,0,11,4,9,1.67,9,9,1,1,0
E. Echenique,CIN,13,8,775,5,1,73,5,14,5,20,1.39,10,8,2,1,0
D. Edelman,STL,13,12,1074,1,1,88,3,7,1,14,0.51,5,18,1,1,0
R. Santos,STL,12,10,880,2,1,77,1,13,7,15,0.91,11,6,0,1,0
J. Sang-bin,STL,8,5,307,3,1,78,1,4,1,4,1.11,2,5,1,0,0
M. dos Santos,MIA,14,14,1260,0,1,94,0,7,2,1,0.58,17,7,0,4,0
C. McVey,SD,13,12,1054,1,1,92,2,6,2,3,0.95,12,1,0,4,0
M. Nascimento,LA,8,0,143,8,1,77,0,5,4,2,1.21,0,2,2,0,0
J. Sery Larsen,PHI,10,9,732,1,1,77,0,2,2,1,0.28,22,12,0,4,1
A. Westwood,CLT,14,13,1205,1,1,87,5,7,3,16,0.85,5,15,0,6,0
M. González,MIN,6,0,70,6,1,90,0,4,3,0,0.74,1,0,0,0,0
E. Sviatchenko,HOU,8,7,586,1,1,81,0,3,1,2,0.38,11,2,0,2,0
I. Fray,MIA,11,9,665,2,1,84,2,6,3,7,1.76,15,17,1,4,0
E. Löwen,STL,7,3,259,4,1,89,1,8,2,3,0.5,5,5,0,0,0
T. Tillman,LAFC,14,10,925,4,1,87,3,9,2,16,1.12,13,34,3,3,0
I. Gómez,ORL,2,0,13,2,1,73,0,1,1,0,0.18,2,0,0,1,0
T. Jacob,ATL,12,12,1031,0,1,82,0,6,1,10,0.69,17,14,2,4,0
K. Smith,CIN,11,7,653,4,1,86,1,4,2,1,0.87,5,1,0,1,1
L. Campana,NE,2,1,110,1,1,79,0,2,1,0,0.33,0,0,0,0,0
J. Neeley,CLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Oliveira,NE,1,0,5,1,0,67,0,0,0,0,0,1,0,0,0,0
M. Duah,SD,14,14,1202,0,0,94,0,3,0,2,0.26,9,11,1,1,1
D. Ruíz,MIA,4,2,152,2,0,89,0,1,0,3,0.18,8,1,0,1,0
T. Lepley,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Dotson,SEA,10,7,566,3,0,88,1,4,0,3,0.14,8,9,0,3,0
Y. Gómez Andrade,SEA,3,3,172,0,0,86,0,4,1,0,0.3,2,1,0,0,0
J. Rodríguez,MIN,6,2,194,4,0,88,2,9,3,16,0.2,2,3,1,0,0
F. Negri,HOU,5,4,291,1,0,85,0,2,0,1,0.06,2,1,0,1,0
J. Ragen,SEA,12,11,1058,1,0,92,1,11,2,5,1.41,6,3,0,3,0
N. Crockford,SJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Eisner,SD,4,0,109,4,0,90,0,1,0,0,0.18,2,4,0,0,0
C. Cappis,DAL,15,9,836,6,0,82,1,7,1,12,0.52,11,10,1,3,0
M. Yamane,LA,13,9,726,4,0,85,1,3,2,12,0.62,9,2,0,1,0
J. Reid,SKC,10,10,891,0,0,80,0,7,3,3,0.35,12,10,0,1,0
G. Minoungou,COL,9,6,597,3,0,70,2,9,1,8,1.43,7,19,2,1,0
K. Thompson,TOR,2,2,135,0,0,79,0,0,0,0,0,1,2,0,0,0
L. Moisa,RSL,3,3,178,0,0,89,1,1,0,2,0.04,1,1,0,1,0
J. Ricketts,SJ,13,11,868,2,0,82,3,6,1,12,0.76,17,29,3,1,0
J. Da,NE,1,0,8,1,0,50,0,0,0,0,0,0,0,0,0,0
B. Anunga,CIN,8,4,385,4,0,91,0,0,0,0,0,5,8,0,1,0
S. Moore,DAL,15,14,1296,1,0,84,1,5,2,4,0.37,19,14,2,2,0
T. Beason,NE,5,0,55,5,0,75,1,0,0,0,0,0,1,0,0,0
A. Riquelme,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K. Trewin,NYC,15,14,1256,1,0,89,2,8,3,6,0.44,14,8,0,3,0
d. duplicated González,SJ,1,0,7,1,0,63,0,0,0,0,0,0,1,0,0,0
G. Turner,DC,3,0,43,3,0,82,0,1,0,1,0.04,0,0,0,0,0
K. Nielsen,LAFC,3,2,146,1,0,89,0,0,0,1,0,3,1,0,1,0
P. Ruiz,RSL,4,0,52,4,0,70,0,2,1,4,0.08,1,0,0,0,0
M. Amundsen,CLB,11,11,945,0,0,89,1,3,0,4,0.12,6,4,0,2,0
C. Welsh,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Korzeniowski,PHI,6,1,136,5,0,83,1,7,2,1,0.77,3,5,0,0,0
S. Gregersen,ATL,9,8,724,1,0,92,1,1,1,2,0.21,9,6,1,3,0
O. Makhanya,PHI,13,13,1169,0,0,82,0,7,1,5,0.64,14,3,2,5,0
R. Baker-Whiting,NSH,10,4,399,6,0,85,0,1,0,2,0.13,3,1,0,1,0
A. Beaudry,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Duke,SD,4,1,75,3,0,79,0,1,1,1,0.02,3,0,0,1,0
S. Morales,MIA,1,1,73,0,0,87,0,0,0,3,0,0,3,0,0,0
R. Ramos Jr.,LA,3,1,97,2,0,75,0,0,0,1,0,1,1,0,1,0
K. LeBlanc,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Gene,MIN,14,8,698,6,0,91,2,3,0,5,0.11,6,4,0,1,0
A. Thomas,SEA,13,13,1170,0,0,71,0,0,0,0,0,0,2,0,0,0
D. Bugaj,MTL,10,8,704,2,0,74,0,9,3,2,0.41,11,7,0,1,0
K. O'Toole,NYC,10,10,900,0,0,89,1,4,3,3,0.3,6,4,3,0,0
C. Wallem,STL,12,12,1053,0,0,83,1,13,0,14,1.22,24,11,2,2,0
D. Judelson,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. McCarthy,RBNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Valencia,RBNY,9,1,279,8,0,77,0,2,2,2,0.05,9,5,0,3,0
G. Berggren,RBNY,10,3,307,7,0,86,1,8,0,4,1.02,8,4,0,0,1
