player,club,games_played,games_started,minutes,substitutions,goals,pass_pct,assists,conversion_pct,shots_on_target,key_passes,xg,fouls_committed,fouls_suffered,offsides,yellow_cards,red_cards
J. Yaro,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Sequera,PHI,1,1,82,0,0,62,0,1,0,0,0.02,4,6,0,0,0
A. Cubas,VAN,11,10,865,1,0,90,3,5,1,10,0.18,19,12,0,5,0
A. Blake,PHI,14,14,1260,0,0,76,0,0,0,1,0,0,1,0,0,0
J. Reynolds,SKC,8,4,315,4,0,83,1,2,1,7,0.26,1,4,0,0,0
Y. Takaoka,VAN,13,13,1144,0,0,80,1,0,0,1,0,1,5,0,0,1
P. Molinari,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Ranjitsingh,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Burton,ATX,2,0,18,2,0,100,0,2,0,0,0.42,0,0,0,0,0
J. Davis,SKC,13,12,1035,1,0,78,2,5,1,7,0.21,24,7,1,3,0
F. Mura,MIA,12,6,700,6,0,88,1,3,1,6,0.41,3,7,0,0,0
D. De Sousa Britto,SJ,15,14,1326,1,0,73,0,0,0,0,0,0,6,0,4,0
I. Boehmer,VAN,2,1,113,1,0,77,0,0,0,0,0,0,2,0,0,0
J. Sanabria,RSL,11,10,908,1,0,85,6,13,3,15,0.89,8,6,2,2,0
Y. Tsukanome,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. John,CLT,1,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0
C. Fodrey,ATX,13,2,238,11,0,59,0,5,2,1,0.38,9,6,0,1,0
F. Surman,POR,14,14,1215,0,0,92,1,5,2,4,0.74,5,11,1,1,0
E. Klein,NE,5,0,20,5,0,93,0,0,0,0,0,0,1,0,0,0
K. Pierre,NYC,1,0,5,1,0,75,0,0,0,0,0,0,1,0,0,0
T. Martins,NYC,14,14,1241,0,0,92,0,2,0,1,0.48,3,2,0,0,0
I. Harkes,SJ,14,3,506,11,0,89,0,8,2,4,1.07,8,7,0,1,0
D. Parisian,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Marín,ORL,13,10,933,3,0,83,3,1,0,7,0.02,11,6,0,3,0
I. Angulo,ORL,15,14,1289,1,0,88,7,9,5,20,1.47,15,13,0,2,0
W. Reilly,ATL,4,3,218,1,0,88,0,0,0,2,0,3,2,0,1,0
R. Aloko,CLT,6,3,247,3,0,77,0,7,2,1,0.62,7,5,2,0,0
E. Alladoh,PHI,13,5,558,8,0,69,1,9,2,11,1.2,10,7,1,1,1
B. Ojeda,ORL,15,15,1337,0,0,90,1,11,0,10,0.57,19,32,0,1,0
F. Bank,TOR,1,0,12,1,0,75,0,0,0,0,0,0,0,0,0,0
T. Allende,MIA,9,4,432,5,0,72,1,8,4,6,1.12,6,3,3,2,0
D. Kerr,TOR,7,4,330,3,0,80,0,9,3,3,0.88,6,9,0,0,0
Z. Campagnolo,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Ferree,SD,13,12,1081,1,0,91,0,1,0,0,0.04,0,4,0,0,0
K. Acito,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Santos,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Toffolo,CLT,10,10,799,0,0,88,3,5,2,7,0.16,7,13,0,2,0
C. Cupps,CHI,2,0,42,2,0,100,0,0,0,0,0,0,0,0,0,0
E. Atuesta,ORL,11,8,679,3,0,85,0,4,1,5,0.46,10,14,0,4,0
D. Nealis,RBNY,12,12,1055,0,0,87,0,3,0,2,0.3,15,16,0,2,0
R. Schewe,SKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Rafanello,PHI,4,2,203,2,0,82,0,3,1,5,0.07,2,3,0,1,0
M. Jones,NYC,6,2,217,4,0,71,0,9,5,2,1.61,2,6,4,1,0
N. Adimabua,SJ,2,1,46,1,0,58,1,0,0,2,0,3,0,0,0,0
A. Resch,HOU,13,8,773,5,0,90,0,2,0,1,0.17,13,7,0,3,0
R. Voloder,RBNY,8,8,710,0,0,89,2,3,1,1,0.49,4,11,0,2,0
B. Hidalgo,MTL,4,2,254,2,0,78,1,1,0,1,0.02,1,4,0,0,0
A. De Rosario,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Lingr,HOU,12,4,376,8,0,87,1,8,4,5,0.69,3,7,1,0,1
I. Pilcher,SD,8,2,164,6,0,91,0,0,0,0,0,3,2,0,2,0
M. Pereira,TOR,2,1,120,1,0,80,0,3,0,3,0.12,3,2,1,0,0
A. Harris,COL,4,1,94,3,0,76,0,3,2,1,0.47,2,3,1,0,0
S. Rogers,CHI,1,1,76,0,0,100,0,0,0,0,0,0,1,0,0,0
I. Parente,LA,2,0,14,2,0,75,0,0,0,0,0,1,0,0,0,0
J. Aude,LA,8,8,549,0,0,92,0,0,0,1,0,8,15,0,1,0
B. Vázquez,ATX,4,0,54,4,0,71,0,2,1,1,0.18,0,0,0,0,0
B. Stuver,ATX,15,15,1350,0,0,66,0,0,0,0,0,0,1,0,1,0
J. Berrocal,ATL,9,8,732,1,0,93,0,7,0,3,0.73,8,1,0,3,0
S. Kapor,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Carlos,HOU,13,11,1034,2,0,92,1,5,1,3,0.56,7,2,0,0,1
B. Servania,DC,14,14,1195,0,0,76,2,13,5,9,0.46,11,16,0,2,0
B. Ramírez,CIN,14,13,1123,1,0,87,3,13,3,20,0.44,22,6,0,6,0
R. Celentano,CIN,13,13,1170,0,0,79,0,0,0,0,0,3,0,0,0,0
N. Hagen,CLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Roldan,SEA,11,9,739,2,0,86,0,5,1,7,0.12,5,9,0,2,0
C. dos Santos,SD,2,2,179,0,0,82,0,0,0,0,0,0,0,0,0,0
E. Bartlow,SKC,10,9,772,1,0,83,0,3,1,3,0.18,7,5,0,1,0
D. Chambost,CLB,12,9,768,3,0,90,3,7,1,19,0.22,10,3,0,2,0
C. Ondo,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Dillon,RSL,8,3,319,5,0,87,0,4,2,6,0.47,4,9,0,1,0
K. Sargeant,SD,8,6,438,2,0,86,1,2,0,4,0.08,3,2,0,0,0
V. Silva,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Kessler,CLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Raines,NE,13,13,1140,0,0,92,0,2,1,4,0.15,37,20,0,5,0
N. Petković,SEA,4,2,136,2,0,88,0,5,2,1,0.57,3,2,0,2,0
J. Barea,RSL,3,0,16,3,0,100,0,1,0,0,0.08,0,3,0,0,0
A. Nájar,NSH,11,9,757,2,0,86,5,2,1,12,0.52,10,8,0,3,0
A. Godoy,SD,14,10,798,4,0,94,2,1,0,3,0.05,15,18,1,3,0
O. Svatok,ATX,14,14,1239,0,0,89,0,4,2,2,0.39,10,8,0,1,0
R. Porteous,LAFC,13,11,1068,2,0,89,0,10,1,6,0.85,9,9,0,3,0
M. Djordjević,ATX,2,0,41,2,0,88,0,0,0,0,0,0,1,0,0,0
R. Holding,COL,13,12,980,1,0,90,0,4,1,4,0.78,5,0,1,1,1
S. Wathuta,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Callender,MIN,15,15,1350,0,0,61,0,0,0,1,0,0,1,0,0,0
R. Jansson,ORL,9,9,753,0,0,88,2,0,0,0,0,4,1,0,1,0
E. Segura,LAFC,13,13,1118,0,0,92,0,1,1,8,0.07,11,2,2,3,0
R. Chukwu,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Caicedo,POR,7,7,504,0,0,89,1,4,1,4,0.21,5,11,0,1,0
G. Pirani,DC,7,6,474,1,0,84,0,6,2,5,0.47,10,12,0,1,0
J. De Coteau,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Jakupovic,PHI,4,0,59,4,0,67,0,0,0,0,0,1,0,0,0,0
M. Corcoran,NSH,11,8,715,3,0,90,0,6,2,4,0.29,10,6,0,2,0
R. Mitchell,RBNY,3,0,27,3,0,63,0,2,1,1,0.04,0,1,0,0,0
S. Jura,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Boxall,MIN,7,5,396,2,0,95,1,1,0,0,0.05,5,3,0,0,0
J. Willis,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y. Bright,MIA,12,11,962,1,0,92,2,4,1,9,0.25,19,16,0,4,1
D. Chará,POR,10,5,543,5,0,93,1,1,0,5,0.02,6,9,0,2,0
B. Gillingham,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Wynder,LA,14,8,722,6,0,90,0,7,0,7,1.35,10,7,0,2,0
A. Zendejas,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Gallagher,ATX,15,13,1189,2,0,82,1,9,3,11,1.22,15,18,3,1,0
J. Gunn,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Thompson,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Reid,NYC,10,0,76,10,0,73,0,2,1,2,0.41,2,2,1,0,0
Y. Cheberko,CLB,3,0,83,3,0,92,0,0,0,0,0,1,0,0,0,0
C. Sanchez,ATL,13,12,940,1,0,87,4,9,2,8,1.09,22,6,0,4,0
J. Miller,SKC,8,4,405,4,0,81,0,1,1,0,0.28,12,8,0,2,0
D. St. Clair,MIA,14,14,1260,0,0,83,0,0,0,1,0,1,0,0,3,0
J. Placias,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Padelford,MIN,12,4,493,8,0,82,1,2,2,1,0.24,6,6,1,0,0
M. Turner,NE,14,14,1260,0,0,72,0,0,0,0,0,0,4,0,1,0
S. Hefti,DC,14,14,1220,0,0,73,3,4,0,10,0.72,17,8,0,3,0
N. Akhundzada,CLB,6,0,31,6,0,95,0,0,0,0,0,1,0,1,0,0
T. Romero,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Stroud,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Ruvalcaba,CLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Hasal,LAFC,3,3,210,0,0,88,0,0,0,0,0,0,0,0,0,0
M. Caldeira,MIN,1,0,7,1,0,67,0,0,0,0,0,0,0,1,0,0
O. Larraz,VAN,9,2,196,7,0,88,0,2,0,5,0.08,9,4,1,3,0
C. Rindov,LA,1,0,1,1,0,50,0,0,0,0,0,0,0,0,0,0
A. Salétros,CHI,12,12,1056,0,0,87,2,10,2,19,0.4,16,1,0,3,0
P. Marie,SJ,11,2,224,9,0,79,4,2,0,8,0.27,2,4,0,0,0
A. Coello,TOR,14,12,1029,2,0,83,4,6,2,28,0.2,20,15,0,3,0
E. Miller,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V. Radojević,CHI,6,1,115,5,0,77,0,1,0,2,0.08,8,6,0,2,0
M. Chisholm,TOR,2,0,65,2,0,83,0,0,0,0,0,2,1,0,0,0
R. Camacho,CLB,15,14,1267,1,0,93,0,7,4,2,1.01,19,3,0,4,0
J. Lukic,PHI,14,12,1042,2,0,83,1,8,0,15,0.57,21,4,0,4,0
T. Hadebe,CIN,7,3,272,4,0,89,0,2,0,2,0.14,2,1,0,1,0
G. Caraballo,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I. Losenko,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Sumalla,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Robinson,CIN,9,8,607,1,0,85,0,3,2,1,0.69,9,2,0,1,1
R. Louis,DAL,1,0,17,1,0,80,0,0,0,0,0,2,0,0,0,0
W. Meyer,SKC,11,10,878,1,0,89,0,2,0,0,0.15,1,4,2,1,0
N. Streit,MTL,11,4,425,7,0,82,1,9,3,7,0.95,8,1,2,0,0
R. Fisher,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Nealis,DC,4,1,63,3,0,82,0,0,0,0,0,2,0,0,0,0
R. Cannon,COL,6,4,307,2,0,91,0,1,1,2,0.03,6,4,0,2,0
M. Polster,NE,9,7,539,2,0,90,0,3,0,0,0.22,7,6,1,1,0
J. Mussenden,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Piette,MTL,10,6,497,4,0,87,0,1,1,6,0.02,12,6,0,3,0
P. Quinton,RSL,11,8,765,3,0,89,2,2,0,2,0.28,4,4,0,1,0
M. Freese,NYC,15,15,1350,0,0,80,0,1,0,0,0.08,0,4,0,0,0
K. Hiebert,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Kohler,NE,10,9,812,1,0,95,0,4,1,0,0.84,6,4,0,1,0
J. Knight,NSH,2,0,6,2,0,67,0,0,0,1,0,1,0,0,0,0
M. Pineda,CHI,9,5,447,4,0,93,0,4,0,3,0.33,7,8,0,0,0
K. Kurokawa,DC,15,15,1338,0,0,78,3,4,2,12,0.38,12,7,1,3,0
L. Abada,CLT,9,4,360,5,0,84,2,10,6,8,0.91,6,2,2,1,0
O. Presthus,CLB,1,1,60,0,0,77,0,0,0,1,0,0,1,0,0,0
B. Hlongwane,MIN,10,4,412,6,0,81,0,6,1,6,0.53,3,2,3,0,0
R. Gustavo,NYC,14,10,951,4,0,87,0,8,2,1,0.65,9,8,0,4,0
A. Gomes,CLB,9,9,683,0,0,91,1,7,1,4,0.28,14,9,0,1,0
T. Ream,CLT,11,11,945,0,0,94,1,1,0,1,0.07,5,6,0,0,0
S. Junqua,RSL,12,6,641,6,0,88,1,2,1,3,0.03,9,4,0,2,0
C. Harvey,MIN,4,1,97,3,0,93,0,0,0,0,0,2,0,0,0,0
